Image,Title,Rating,Price,Ad_Organic
https://m.media-amazon.com/images/I/71LFZxS09oL._AC_UY218_.jpg,"HP Professional 15 (2026), Intel (i3 14th Gen) Core 3 100U - (8 GB/512 GB SSD/Intel UHD Graphics) Thin & Light Business Laptop/15.6"" Display/Turbo Silver/Copilot Key/1.5kg",2.5 out of 5 stars,"46,460",Organic
https://m.media-amazon.com/images/I/61O2P+m2gIL._AC_UY218_.jpg,"ASUS Vivobook 14, (i5 14th Gen) Intel Core 5 120U, Thin & Light Laptop(16GB RAM/512GB SSD/FHD/14/60Hz/Fingerprint Reader/M365 Basic (1Year)*/Office Home 2024/Quiet Blue/1.4 Kg) X1404VAP-EB1542WS",4.0 out of 5 stars,"64,430",Organic
https://m.media-amazon.com/images/I/51Ttl4ZgM7L._AC_UY218_.jpg,"Lenovo Thinkpad P14s Intel Core Ultra 9 185H 14.5""(36.83 cm) WUXGA IPS 300Nits, AI Ready Workstation (32GB/1TB SSD/Windows 11 Pro/Backlit/Intel Graphics/Black/3Y Premier Warranty/1.61Kg), 21G2S04P00",5.0 out of 5 stars,N/A,Organic
https://m.media-amazon.com/images/I/81c6CME0d9L._AC_UY218_.jpg,"Lenovo Legion Pro 7 2025 Intel Core Ultra 9 275HX | NVIDIA RTX 5090 24GB (64GB RAM/1TB SSD/WQXGA OLED/240Hz/16 (40.6cm)/Windows 11/Office 2024+AI Now/Black/2.5Kg), 83F500D8IN AI Powered Gaming Laptop",5.0 out of 5 stars,"4,82,490",Organic
https://m.media-amazon.com/images/I/710T7opADkL._AC_UY218_.jpg,"ASUS TUF A16 (2026), AMD Ryzen 7 170 Processor,RTX 4050-6GB, 16GB RAM, 512GB SSD, FHD+, 16""(40 cm), Windows 11 Home, M365 Basic(1 Year)* Office 2024, Mecha Gray, 2.2 Kg, FA607NUQ-RL047WS,Gaming Laptop",4.5 out of 5 stars,"99,990",Organic
https://m.media-amazon.com/images/I/816vnY-8LuL._AC_UY218_.jpg,"Lenovo LOQ 2025 AMD Ryzen 7 250| NVIDIA RTX 5060 8GB (24GB RAM/1TB SSD/144Hz Refresh Rate/572 AI TOPS/15.6"" (39.6cm)/Windows 11/Office 2024/3 Mon. Game Pass/Grey/2.4Kg), 83JG008MIN",4.9 out of 5 stars,"1,41,990",Organic
https://m.media-amazon.com/images/I/51kG0ca8MEL._AC_UY218_.jpg,"HP Business 250R G10 (2025) Thin & Light Laptop with Intel Core 3 14th Gen 100U, 16GB RAM, 512GB SSD, 15.6″ IPS Display, Copilot Key, Windows 11 Pro & MS Office 2024, Turbo Silver (1.5 kg)",N/A,"51,890",Organic
https://m.media-amazon.com/images/I/81xbSMHZ0UL._AC_UY218_.jpg,"Lenovo Yoga Slim 7 Intel Core Ultra 7 155H 14""(35.5cm) WUXGA-OLED 400Nits Laptop (32GB RAM/1TB SSD/AI PC/2Wx4 Speakers/Windows 11/Office Home 2024/1Yr ADP Free/Grey/1.39Kg), 83CV00D3IN",4.8 out of 5 stars,"1,29,990",Organic
https://m.media-amazon.com/images/I/614QC+tnRVL._AC_UY218_.jpg,"HP 14, Intel Core 13th Generation Intel Core i7-1355U (16GB DDR4, 512GB SSD), Micro-Edge, Anti-Glare, FHD, 14''/35.6cm, Win11, M365* Office24, Silver, 1.4kg, EP0159TU, FHD Camera, Backlit Laptop",5.0 out of 5 stars,"79,990",Organic
https://m.media-amazon.com/images/I/61tjQ9CkAhL._AC_UY218_.jpg,"ASUS Zenbook 14 (2026),Smartchoice,Intel Core Ultra 9 285H,32GB RAM,1TB SSD,OLED,Touchscreen,14""(35.5 cm),Win 11,M365 Basic(1Y)* Office 24,Foggy Silver,1.28 Kg,UX3405CA-QL1113WS,Thin & Light Laptop",N/A,"1,24,990",Organic
https://m.media-amazon.com/images/I/713PRh1j6jL._AC_UY218_.jpg,"HP 15, AMD Ryzen 7 5825U, 16GB DDR4, 512GB SSD, 15.6-inch(39.6cm) Anti-Glare, FHD, Radeon Graphics, Backlit KB, 1080p HD cam (Win11, M365 Basic(1yr)*,Office Home24, Silver, 1.69kg) fc0533AU",3.9 out of 5 stars,"58,990",Organic
https://m.media-amazon.com/images/I/61JXT1qggjL._AC_UY218_.jpg,"Lenovo ThinkBook 14, AMD Ryzen 5 220, 16GB RAM, 1TB SSD, WUXGA IPS 14” (35.56cm), Windows 11 Home, Arctic Grey, 1.36Kg, 21V0A01SIG, Fingerprint, Backlit, 400 Nits, 1Y Warranty, Laptop",5.0 out of 5 stars,"77,990",Organic
https://m.media-amazon.com/images/I/81CAThD9XUL._AC_UY218_.jpg,"acer Aspire Lite,13th Gen, Intel Core i5-13420H Processor, 16 GB RAM, 512 GB SSD, Full HD IPS, 15.6""/39.62 cm, Windows 11 Home, MS Office, Pure Silver, 1.70 kg, AL15-52H, Thin and Light Laptop",4.1 out of 5 stars,"59,780",Organic
https://m.media-amazon.com/images/I/71618Qzqd5L._AC_UY218_.jpg,"Certified T14 Professional Light Weight Laptop | Core i5 10th Gen | Up to 32GB RAM | Up to 2TB SSD | 14"" FHD Display | Windows 11 (16, GB, 512, GB)",N/A,"29,990",Organic
https://m.media-amazon.com/images/I/41r9Iz4j3LL._AC_UY218_.jpg,"Lenovo ThinkPad E14, AMD Ryzen 5 7535HS, 16GB RAM, 512GB SSD, WUXGA IPS 14” (35.56cm), Windows 11 Pro, Black, 1.42Kg, 21M3008UIG, Fingerprint, Backlit, 300 Nits, 3Y Premier Warranty, Laptop",N/A,"1,12,499",Organic
https://m.media-amazon.com/images/I/61DIi-Z-B7L._AC_UY218_.jpg,"Lenovo 14 (2025), AMD Ryzen 3 7320U Quad Core - (8 GB/512 GB SSD/AMD Radeon Graphics/Windows 11 Home) Thin and Light Business Laptop/14.0"" FHD Display/Silver/1.4 kg/MS Office 2021",4.0 out of 5 stars,"43,750",Organic
https://m.media-amazon.com/images/I/71gGeGiFNKL._AC_UY218_.jpg,"HP 15 (2026), Renewd AMD Ryzen 7 Octa Core 7735U - (16 GB DDR5/512 GB SSD/AMD Radeon 680M Graphics/DOS) Thin & Light Business Laptop/15.6"" FHD Display/Backlit + Fingerprint/Silver/1.5kg",5.0 out of 5 stars,"61,000",Organic
https://m.media-amazon.com/images/I/71uPoxSrtQL._AC_UY218_.jpg,"ASUS ROG Zephyrus G14,AMD Ryzen AI 9 HX 370 Gaming Laptop(RTX 5070 Ti -12GB/110W TGP/32GB/2TB/3K OLED/14/120Hz/Windows 11/M365 Basic (1Year)*/Office Home 2024/Eclipse Gray/1.57 Kg) GA403WR-QS123WS",4.2 out of 5 stars,"2,79,990",Organic
https://m.media-amazon.com/images/I/71Du1Y52b9L._AC_UY218_.jpg,"ASUS Gaming V16, Intel Core 7 240H (14th Gen), RTX 5060-8GB,16GB RAM,512GB SSD,FHD+,16"",144Hz,Backlit Keyboard,Windows 11,M365 Basic (1Y),Office 2024,Matte Black,1.95 Kg,V3607VM-RP057WS, Gaming Laptop",3.8 out of 5 stars,"1,09,990",Organic
